,name0,average,usersrated,weight,minplayers,maxplayers,playingtime,yearpublished
85538,Aeon's End: Bezimienni,8.434,640,2.6,1,4,60,2017
3,A Mars terraform?¡l?¡sa,8.429,55733,3.236,1,5,120,2016
85520,Cosmic Encounter: Cosmic Dominion,8.429,1257,3,3,5,60,2014
6,Star Wars: L?¡zad?¡s,8.422,20651,3.705,2,4,240,2016
85434,Les Contr?©es de l'Horreur: Les Contr?©es du R?ªve,8.413,1010,3.214,1,8,240,2017
85429,Combat Commander: Battle Pack #2 ?¢â?¬â?? Stalingrad,8.412,528,3,2,2,120,2008
741,Cloudspire,8.411,1168,4.143,1,4,180,2019
795,An?­bal y Am?­lcar,8.408,1027,3.902,2,2,200,2018
85388,Guerra del Anillo. Guerreros de la Tierra Media,8.401,706,4.059,2,4,180,2016
1451,Aristeia!,8.395,661,3.031,2,2,90,2017
85270,Innovation Deluxe,8.389,603,2.867,2,6,60,2017
85258,Orl?©ans: Deluxe Edition,8.387,1444,3.06,2,5,90,2015
1164,Street Masters,8.387,759,2.815,1,4,120,2018
85240,A Mars Terraform?¡l?¡sa: Hellas & Elysium,8.383,5946,2.945,1,5,120,2017
85233,Viticulture: Complete Collector's Edition,8.381,740,3.32,1,6,90,2014
89,On Mars,8.378,3831,4.609,1,4,150,2020
85175,Scythe: Conqu?©rants du lointain,8.372,7044,3.419,1,7,140,2016
694,Star Wars: X-Wing (Second Edition),8.371,1253,3.04,2,2,45,2018
85171,Les Contr?©es de l'Horreur: Les Secrets des Pyramides,8.37,1748,3.179,1,8,180,2015
219,Pax Pamir (Second Edition),8.369,2303,3.687,1,5,120,2019
85144,Le Case della Follia: Seconda Edizione â?? Oltre la Soglia: Espansione,8.364,1914,2.454,1,5,180,2017
403,Concordia Venus,8.36,1560,3.188,2,6,120,2018
1383,High Frontier (Third Edition),8.351,613,4.71,1,5,240,2017
85075,Arkham Horror: Das Kartenspiel â?? Verloren in Zeit und Raum: Mythos-Pack,8.348,729,3.454,1,4,120,2017
85073,Descent: Die Reise ins Dunkel (Zweite Edition) â?? Schatten von Nerekhall,8.347,1221,3.273,2,5,90,2014
1541,Time of Legends: Joan of Arc,8.338,908,3.5,2,4,90,2019
1192,Sal's World War II Game: Europe,8.336,761,3.734,2,3,3000,2014
85035,El Grande Decennial Edition,8.336,715,3,2,5,90,2006
85030,Aeon's End: Czelu??cie,8.335,744,2.4,1,4,60,2016
85029,Arcadia Quest: Beyond the Grave,8.334,970,2.652,2,4,60,2015
85028,Corsari dei Caraibi: Mari della Gloria,8.334,1262,3.39,2,4,180,2015
82,Maracaibo,8.333,4014,3.887,1,4,120,2019
84718,Les Contr?©es de l'Horreur: Signes de Carcosa,8.331,1602,3,1,8,240,2016
84714,Android: Netrunner â?? Ehre und Profit,8.33,536,3.261,2,2,45,2014
84698,Arkham Horror: Das Kartenspiel â?? Der Essex-County-Express: Mythos-Pack,8.326,1085,3.6,1,4,120,2017
12,Spirit Island,8.321,19844,3.965,1,4,120,2017
84666,Concordia: Salsa,8.318,2697,3.132,2,5,90,2015
1637,Dungeon Degenerates: Hand of Doom,8.316,684,3.521,1,4,360,2017
84660,Les Contr?©es de l'Horreur: Vestiges Occultes,8.315,2638,3.122,1,8,240,2015
84642,Orlean: Inwazja,8.312,2207,3.368,1,5,120,2015
84640,Mage Wars: Druid vs. Necromancer,8.311,740,3.464,2,2,90,2013
