,name0,average,usersrated,weight,minplayers,maxplayers,playingtime,yearpublished
1048,Wallenstein (Second Edition),7.624,1195,3.226,2,5,120,2012
75354,Small World: Be Not Afraid...,7.624,5177,2.3,2,5,80,2010
2173,The Red Dragon Inn 5,7.623,593,2.111,2,4,60,2015
280,Dune,7.623,5369,3.444,2,6,180,1979
75348,Coloni Imperiali: Aztechi,7.623,667,2.8,1,4,90,2016
650,Heroscape Master Set: Swarm of the Marro,7.623,2212,2.248,2,4,60,2007
117,Der Eiserne Thron: Das Brettspiel (2. Edition),7.622,27087,3.712,3,6,240,2011
75337,Harry Potter Hogwarts Battle: La Scatola Mostro dei Mostri,7.622,1372,2.72,2,4,60,2017
1554,LYNGK,7.621,800,2.85,2,2,60,2017
1143,Conquistadores de Midgard,7.621,1177,2.873,2,4,90,2019
1499,Fighting Formations: Gro???¸deutschland Infantry Division,7.62,864,3.295,2,2,180,2011
1037,Keyforge: A Era da Ascens?£o,7.619,1358,2.6,2,2,45,2019
75296,Arkham Horror: Der K?¶nig in Gelb,7.618,4044,3.199,1,8,240,2007
1446,Sol: Last Days of a Star,7.618,883,2.909,1,5,90,2017
1207,Battle Cry: 150th Civil War Anniversary Edition,7.618,1105,2.073,2,2,45,2010
189,Imperial,7.618,8125,3.571,2,6,180,2006
87,EPIZOotic,7.617,95073,2.416,2,4,45,2008
75283,Pandemia: Stan zagro?¼enia,7.617,1349,2.657,2,4,45,2015
188,Hero Realms,7.617,10753,1.909,2,4,30,2016
75274,Pathfinder Abenteuerkartenspiel: Das Erwachen der Runenherrscher â?? Abenteuerset 2: Die H?¤utermorde,7.616,1330,2.646,1,6,90,2013
75271,Kingdom Builder: Big Box,7.615,952,2.353,2,5,45,2014
177,Csak egy,7.615,8463,1.062,3,7,20,2018
75260,Flash Point: Fire Rescue â?? Urban Structures,7.615,1267,2.222,2,6,45,2011
75253,Carcassonne: 1. Erweiterung â?? Wirtsh?¤user und Kathedralen,7.614,19052,1.93,2,6,60,2002
172,Viticulture,7.614,9524,2.933,2,6,90,2013
442,F?¡bulas de Peluche,7.613,3543,2.424,2,4,90,2018
1275,Czas Apokalipsy,7.613,1171,2.184,1,6,90,2018
2024,Wreck Raiders,7.613,630,2.529,1,5,45,2019
75239,Cross of Iron: A Squad Leader Gamette,7.613,884,4.148,1,2,60,1978
624,Legendary: A Marvel Deck Building Game â?? Villains,7.613,2460,2.697,1,5,45,2014
2049,Talon,7.611,604,2.543,2,6,90,2016
75232,T.I.M.E Stories: Der Marcy-Fall,7.611,5725,2.61,2,4,90,2015
167,Martin Wallace's Totally Renamed Train Game,7.611,9332,3.458,3,5,90,2009
75210,Flash Point: Feuer an Bord,7.611,730,2.333,2,6,45,2013
111,T.I.M.E Stories,7.61,22291,2.606,2,4,90,2015
75202,Pathfinder Abenteuerkartenspiel: Das Erwachen der Runenherrscher â?? Charaktererset,7.61,1668,2.716,1,6,90,2013
1797,Aerion,7.61,665,1.9,1,2,30,2019
75199,Talisman (Revised 4th Edition): The Woodland Expansion,7.609,565,2.286,2,6,90,2014
75196,Flash Point: Ehre und Pflicht Erweiterung,7.609,523,2.191,2,6,45,2014
75191,Dixit: Odyssey (expansion),7.609,703,1.174,3,6,30,2013
2015,Zug um Zug: Deutschland,7.609,581,1.88,2,5,60,2012
1773,Strike of the Eagle,7.608,678,3.049,2,4,240,2011
147,Codenames: Duet,7.606,11579,1.34,2,4,30,2017
75169,Blood Bowl: DeathZone,7.606,719,2.833,2,2,120,1994
497,ZhanGuo,7.604,2778,3.834,2,4,120,2014
104,Dead of Winter: A Crossroads Game,7.604,37243,3.011,2,5,120,2014
435,Game of Thrones Kartenspiel: Der Eiserne Thron (zweite Ausgabe) â?? Grundset,7.603,3934,3.52,2,4,120,2015
2025,Dungeon Alliance,7.601,663,3.632,1,4,180,2018
962,Crisis,7.601,1398,3.102,1,5,120,2016
259,Le Bien & Le Malt,7.6,5603,3.236,2,4,90,2017
75138,Carcassonne: 2. Erweiterung â?? H?¤ndler und Baumeister,7.6,14954,2.066,2,6,60,2003
380,Conductor,7.6,3666,2.918,1,4,120,2012
1907,Four Against Darkness,7.599,899,2.235,1,1,75,2016
192,1960: Carrera hacia la Casa Blanca,7.599,8276,3.202,2,2,120,2007
461,Mare Nostrum: Empires,7.599,3258,3.028,3,5,120,2016
74979,Fleet: Arctic Bounty,7.598,643,2.3,1,4,30,2014
74978,Kingdom Builder: Crossroads,7.598,1120,2.36,2,5,45,2013
74974,BattleLore: Der hundertj?¤hrige Krieg,7.598,551,2.649,2,2,60,2007
74969,7 Wonders: Wonder Pack,7.597,4957,2.285,2,7,30,2013
74964,Last Night on Earth: Hero Pack 1,7.596,751,2.111,2,6,0,2010
882,Andean Abyss,7.595,1565,3.765,1,4,360,2012
74956,Pok?³j 25: Sezon 2,7.595,820,2.333,1,8,30,2014
1173,World in Flames,7.594,1314,4.626,2,7,6000,1985
74940,Escape: The Curse of the Temple â?? Big Box,7.594,1405,1.467,1,6,10,2014
116,Avalon,7.593,25575,1.774,5,10,30,2012
105,Star Realms,7.593,33508,1.946,2,2,20,2014
382,Carpe Diem,7.593,3831,2.516,2,4,75,2018
158,Goa,7.592,10806,3.377,2,4,90,2004
108,Istanbul,7.592,23395,2.588,2,5,60,2014
74901,Flash Point: Fire Rescue â?? Veteran and Rescue Dog,7.59,787,1.833,2,6,45,2013
157,Legendary: A Marvel Deck Building Game,7.59,18851,2.442,1,5,60,2012
74895,Bang Kostkov?¡ hra: Old saloon,7.589,1411,1.583,3,8,20,2016
74882,Runebound: Piaski Al-Kalim,7.588,845,2.809,2,6,120,2007
74880,Carabande Action Set,7.588,1645,1.083,2,8,20,1997
713,Catacombs (Third Edition),7.588,2036,2.289,2,5,90,2015
74874,Zombicide: Box of Zombies Set #5 â?? Zombie Dogz,7.587,626,2.7,1,6,60,2013
627,Summoner Wars: Gildenzwerge & H?¶hlengoblins,7.587,2300,2.235,2,4,30,2009
141,Capit?¡n Sonar,7.587,14762,2.13,2,8,60,2016
1897,Aufbruch nach Newdale,7.586,619,2.926,1,4,90,2019
2197,Volfyirion,7.586,643,2.167,2,2,30,2019
1829,Quartermaster General: 1914,7.586,660,2.588,2,5,120,2016
74855,Hive: Coccinelle,7.585,2044,2.2,2,2,20,2010
202,EXIT ë°© í??ì¶? ê²?ì??: ë²?ë?¤ì§? ì?¤ë??ë§?,7.585,7710,2.522,1,6,120,2016
218,Ma?®tres Couturiers,7.585,7115,3.1,2,5,120,2013
183,La Course vers El Dorado,7.584,9264,1.948,2,4,60,2017
364,Labirynt: Wojna z terroryzmem 2001 â?? ?,7.583,4132,3.626,1,2,180,2010
815,Legend of the Five Rings: Das Kartenspiel,7.583,2014,3.979,2,2,90,2017
1803,Village Attacks,7.582,840,2.708,1,5,180,2017
155,Tai Pan,7.582,12862,2.342,4,4,60,1991
1225,Empires in Arms,7.582,1218,4.409,2,7,12000,1983
450,Nusfjord,7.581,3268,2.875,1,5,100,2017
74794,Thunderstone: Belagerung von Thornwood,7.58,797,2.679,2,5,60,2011
728,Zombicide Saison 3: Rue Morgue,7.58,2318,2.5,1,12,60,2015
429,Star Wars: Destiny,7.58,4289,2.261,2,2,30,2016
118,Castles of Mad King Ludwig,7.579,20983,2.655,1,4,90,2014
99,100000 ?»?µ?? ?´?¾ ?½?°???µ?¹ ??????,7.578,42601,2.48,2,4,90,2008
2092,1861: The Railways of the Russian Empire,7.577,521,4.208,3,6,360,2006
74772,Flash Point: Das n?¤chste Level,7.577,1279,2.239,2,6,45,2012
1415,Ascension: Realms Unraveled,7.577,960,2.172,1,4,30,2014
176,Secret Hitler,7.574,15906,1.69,5,10,45,2016
310,The Godfather: Corleone's Empire,7.573,5175,2.586,2,5,90,2017
1305,Wildcatters,7.571,972,3.859,2,4,120,2013
222,Burgle Bros.,7.571,7690,2.291,1,4,90,2015
983,Thunderbirds,7.57,1589,2.493,1,4,60,2015
711,878 Les Vikings: Les Invasions de l'Angleterre,7.57,2135,2.597,2,4,120,2017
74653,Neuroshima Hex! Duel,7.569,807,2.625,2,2,30,2009
74652,Carcassonne Big Box,7.569,872,2.3,2,5,45,2006
74649,Innovation: Echoes,7.569,1574,2.889,2,5,60,2011
1552,The Magnificent,7.569,819,3.176,1,4,90,2019
327,Santa Maria,7.568,4614,3.03,1,4,90,2017
872,Empires of the Void II,7.568,1612,3.442,2,5,180,2018
74641,Small World: A Spider's Web,7.568,1035,2.191,2,5,80,2014
74638,Troyes: Bonus Cards,7.568,743,3.167,2,4,90,2011
1000,Stronghold (2. edycja),7.567,1368,3.732,2,2,90,2015
74618,Hero Realms: Campaign Starter Deck,7.567,1321,2.333,1,5,90,2017
74615,King of Tokyo/New York: Monster Pack â?? Cthulhu,7.566,846,2,2,6,30,2017
74614,K2: Broad Peak,7.566,783,2.392,1,5,60,2011
938,Smash Up: Die Unverzichtbaren,7.566,1561,2.067,2,2,60,2016
74607,Zombicide Box of Dogs Set #6: Dog Companions,7.566,695,2.95,1,6,60,2013
448,Baseball Highlights: 2045,7.565,3384,2.211,1,4,45,2015
970,Kingsburg (Second Edition),7.565,1479,2.458,2,5,120,2017
1432,Abominaci?³n: El Heredero de Frankenstein,7.564,958,3.291,2,4,180,2019
2240,Dungeon Command: Blood of Gruumsh,7.563,565,2.469,2,2,90,2013
1280,Fireteam Zero,7.563,1157,2.703,1,4,90,2015
191,Bora Bora,7.562,8804,3.737,2,4,120,2013
1941,Orchard: A 9 card solitaire game,7.562,620,1.148,1,1,10,2018
194,Flamme Rouge,7.561,10367,1.65,2,4,45,2016
887,Plague Inc.: The Board Game,7.561,2336,2.147,1,4,60,2017
74549,Takenoko: Chibis,7.561,3029,1.855,2,4,45,2015
128,Memoir '44,7.56,24556,2.275,2,8,60,2004
1314,Pax Pamir,7.56,1011,3.645,2,5,120,2015
74542,Warhammer: Invasion â?? Angriff auf Ulthuan,7.559,788,2.659,2,2,60,2010
74531,Der Herr der Ringe: Das Kartenspiel â?? Die lange Dunkelheit,7.558,528,2.611,1,2,60,2012
74526,Memoir '44: Air Pack,7.557,1202,2.446,2,2,60,2007
1575,Funkenschlag,7.557,822,3.581,2,6,180,2001
74525,Die F?¼rsten von Catan: Finstere Zeiten,7.557,527,2.208,2,2,75,2011
74518,Robo Rally: Radioactive,7.557,719,2.839,2,8,120,1998
74516,Der Herr der Ringe: Das Kartenspiel â?? Der Weg nach Bruchtal,7.557,603,2.7,1,2,60,2012
210,Casa da India,7.556,7775,3.097,2,5,90,2010
74506,Vanuatu (Second Edition),7.556,901,3.378,2,5,90,2016
200,21 Flowers,7.554,9142,1.719,2,2,15,2013
1367,Teenage Mutant Ninja Turtles: Shadows of the Past,7.554,1118,2.719,2,5,90,2016
74449,Le Case della Follia: La Casa Stregata,7.553,648,2.825,2,5,180,2011
629,Friedrich,7.553,2453,3.154,3,4,210,2004
2671,Funkoverse Strategy Game,7.553,512,2.208,2,4,60,2019
423,Dobbel zo Clever,7.552,3570,2.317,1,4,30,2019
276,Altiplano,7.552,6070,3.327,2,5,120,2017
1390,IKI,7.552,929,2.937,2,4,90,2015
1386,Rommel in the Desert,7.552,962,3.43,2,2,150,1982
2579,Village Pillage,7.552,633,1.4,2,5,20,2019
74430,Formula D: Circuits 2 â?? Hockenheim and Valencia,7.551,682,1.861,2,10,60,2009
110,?¡Aventureros al Tren! Europa,7.551,54145,1.945,2,5,60,2005
415,Hammer of the Scots,7.551,3753,2.981,2,2,180,2002
257,Space Base,7.551,6410,2.11,2,5,60,2018
74426,Small World: Royal Bonus,7.551,1205,2.226,2,5,80,2013
1005,Axis & Allies Europe 1940,7.551,1779,3.454,2,6,360,2010
727,Star Wars: The Queen's Gambit,7.55,2051,2.49,2,4,120,2000
196,Age of Empires 3: The Age of Discovery,7.55,9713,3.127,2,5,120,2007
74395,Tzolk'in: Der Maya-Kalender â?? Mini-Erweiterung,7.549,572,3.179,2,4,90,2012
74391,BattleLore: Batailles ??â?°piques,7.549,821,2.603,2,6,90,2007
270,Cryptid,7.548,5984,2.214,3,5,50,2018
1315,John Company,7.547,990,4.15,1,6,180,2017
174,Shogun,7.547,12506,3.372,3,5,120,2006
2452,Aventuria: Adventure Card Game,7.546,520,2.353,1,4,180,2016
2203,Smash Up: Big in Japan,7.546,555,2.667,2,2,45,2017
74357,C3K: Creatures Crossover Cyclades/Kemet,7.545,552,2.467,2,5,90,2013
133,Cosmic Encounter,7.545,26150,2.571,3,5,120,2008
2045,Defenders of the Last Stand,7.545,579,2.917,1,5,120,2016
74353,Doom: Das Brettspiel Erweiterung,7.544,1066,2.877,2,4,90,2005
1529,Sails of Glory,7.544,956,2.91,2,4,45,2013
74344,Formula D: Circuits 3 â?? Singapore & The Docks,7.543,514,1.895,2,10,60,2010
513,Blackout: Hong Kong,7.543,2964,3.496,1,4,150,2018
74335,Neue Geb?¤ude f?¼r Puerto Rico,7.542,2653,3.212,2,5,90,2004
74334,Betrayal at House on the Hill: Widow's Walk,7.542,3176,3.034,3,6,60,2016
74313,Carcassonne: Das Gefolge,7.541,1230,1.571,2,6,45,2011
74312,5-Minute Dungeon: Curses! Foiled Again!,7.541,505,1.273,2,6,30,2018
2102,Small City,7.541,542,4,1,4,120,2015
607,Summoner Wars: Elfes du Ph?©nix vs Orcs de la Toundra,7.54,2522,2.317,2,4,30,2009
807,Shards of Infinity,7.539,1978,2.027,2,4,30,2018
346,Blood Bowl (Third Edition),7.538,5145,2.981,2,2,180,1994
164,Die F?¼rsten von Florenz,7.538,14413,3.25,2,5,100,2000
316,G?¹g??ng,7.537,5198,3.047,1,5,90,2018
1667,The Rise of Queensdale,7.537,780,2.765,2,4,60,2018
2248,Quodd Heroes,7.537,595,3.125,1,6,90,2019
1077,1856: Railroading in Upper Canada from 1856,7.536,1218,4.25,3,6,300,1995
1266,Roam,7.536,1073,1.867,2,4,45,2019
132,Suburbia,7.535,20727,2.773,1,4,90,2012
328,Stockpile,7.535,5016,2.11,2,5,45,2015
464,The Republic of Rome,7.535,3854,4.329,1,6,300,1990
74260,Unlock!: Exotic Adventures,7.534,854,2.556,1,6,90,2018
1357,Unlock!: Secret Adventures â?? Les Aventuriers du Pays d'Oz,7.534,962,2.846,1,6,60,2018
289,Space Hulk (Third Edition),7.534,6592,2.786,2,2,60,2009
138,Santorini,7.534,23971,1.726,2,4,20,2016
74255,PitchCar Extension 2: More Speed More Fun,7.534,727,1.083,2,8,30,2006
143,Descendance,7.533,19314,3.071,2,4,90,2011
577,Hadara,7.533,2660,2.169,2,5,60,2019
1117,EXIT-???????¡?¢. ???»?¾?²?µ???¸?¹ ?¾???¾?±?½???º,7.532,1199,2.611,1,4,90,2018
422,Runebound (Third Edition),7.532,4540,2.669,2,4,180,2015
148,Sagrada,7.531,21916,1.919,1,4,45,2017
74231,T.I.M.E Stories: Lumen Fidei,7.531,1740,3.15,2,4,90,2017
274,Claustrophobia,7.53,6518,2.483,2,2,45,2009
303,Puerto Rico: Das Kartenspiel,7.53,5329,2.078,2,4,60,2014
205,B??sn??n?­ Dr?¡kuly,7.53,10404,3.209,2,5,180,2015
204,Summoner Wars: Master Set,7.529,10153,2.51,2,4,60,2011
738,Century:  O Novo Mundo/ Un Nuevo Mundo,7.528,2090,2.143,2,4,45,2019
1118,The New Era,7.528,1241,3.446,2,5,60,2011
471,Black Orchestra,7.528,3670,2.37,1,5,90,2016
550,Star Trek: Fleet Captains,7.527,3086,3.049,2,4,120,2011
552,Angriff! Teil 1: Ostfront 1941/42,7.527,2938,3,1,4,120,2008
74175,Kaispeicher,7.526,629,2.518,2,5,90,2012
74170,Coloni Imperiali: Set Impero 02,7.526,672,2.714,1,4,60,2016
74166,Kamie?? Gromu: Gniew ?»ywio???³w,7.525,2000,2.664,1,5,45,2010
1652,Black Sonata,7.525,801,2.074,1,1,30,2017
74157,Hive: De Mug,7.525,2813,2.253,2,2,20,2007
1182,Successors (Third/Fourth edition),7.524,1163,3.31,2,4,300,2008
74150,Unlock 2: Rejt?©lyes kalandok,7.524,2078,2.235,1,6,75,2017
74146,Alhambra: Big Box,7.524,4048,2.345,2,6,60,2009
74135,Innovation: Figures in the Sand,7.522,533,3,2,6,75,2013
171,Cyclades,7.521,16990,2.833,2,5,90,2009
74122,Cacao: Chocolatl,7.521,982,2.158,2,4,60,2016
195,Hrdina v kostce,7.52,11052,2.385,1,4,90,2016
1263,Star Trek: Attack Wing,7.519,1767,2.702,2,99,60,2013
74100,Space Hulk: Anio?? ??mierci â?? Gra karciana: Tyranidzi,7.518,665,2.31,1,6,30,2011
74092,King of Tokyo Promokarten,7.518,1054,1.565,2,6,30,2011
74089,O m?³j Zbo?¼e! Rewolta w Longsdale,7.517,1349,2.15,1,4,45,2016
1642,Risiko Europa,7.517,986,2.737,2,4,180,2015
587,Saint P?©tersbourg (deuxi?¨me ?©dition),7.516,2631,2.683,2,5,60,2014
907,Riverboat,7.516,1583,2.863,2,4,90,2017
74080,KeyForge: Call of the Archons â?? Archon Deck,7.516,1376,2.286,2,2,45,2018
708,The Estates,7.512,2088,2.333,2,5,60,2018
126,Jaipur,7.512,33648,1.496,2,2,30,2009
74041,Aventureros al Tren: Suiza,7.511,4515,1.956,2,3,60,2007
1246,Q.E.,7.511,1069,1.8,3,5,45,2019
1685,Warhammer Quest: Silver Tower,7.51,1033,2.333,2,4,120,2016
74032,Port Royal Doar inca un contract,7.51,1575,1.778,1,5,50,2015
178,Asesinato en Hong Kong,7.507,14432,1.601,4,12,20,2014
964,Carcassonne Wintereditie,7.507,1581,1.828,2,5,40,2012
814,Bataille pour Rokugan,7.506,2000,2.75,2,5,90,2017
947,Helden der Normandie,7.506,1846,2.737,2,2,60,2014
74004,Last Will: Enfin vir?©!,7.506,839,2.629,2,5,75,2013
851,The Shipwreck Arcana,7.506,1760,2.135,2,5,30,2017
677,Dogs of War,7.505,2358,2.667,3,5,75,2014
287,Civilisation,7.505,6990,3.655,2,7,360,1980
1478,Coloma,7.505,910,2.889,1,6,90,2019
73991,Ghost Stories: Black Secret,7.504,511,3.139,2,5,90,2011
151,Magic: Die Zusammenkunft,7.504,30832,3.201,2,2,20,1993
73987,Race for the Galaxy: Alien Artifacts,7.503,1445,2.918,2,5,45,2013
1139,Axis & Allies Pacific 1940,7.502,1549,3.509,2,4,360,2009
2075,World at War: Eisenbach Gap,7.501,636,2.595,2,2,90,2007
73977,Small World: Cursed!,7.501,5627,2.241,2,5,80,2009
186,Lewis & Clark,7.5,12089,3.344,1,5,120,2013
72280,Tokaido: Crossroads,7.499,1940,1.855,2,5,45,2013
72279,Fading Glory,7.499,511,2.629,2,2,90,2012
604,Squad Leader,7.499,3060,4.042,2,2,60,1977
2132,Smash up: Conflit de g?©n?©rations,7.498,602,2.333,2,2,45,2017
252,Kork?©p,7.498,8687,2.853,1,5,120,2019
734,Gentes,7.497,2067,3.212,1,4,90,2017
1254,Europe Engulfed: WWII European Theatre Block Game,7.496,1254,3.775,2,3,720,2003
1406,Time's Up! Deluxe,7.496,936,1.31,4,18,60,2008
72256,Memoir '44: Pack de Terreno,7.495,2045,2.141,2,2,60,2005
72251,Potion Explosion: Die F?¼nfte Zutat,7.494,722,1.875,2,4,60,2017
230,Ethnos,7.494,8802,2.025,2,6,60,2017
2131,The Fox in the Forest Duet,7.494,574,1.667,2,2,30,2020
72248,Andor: Nouveaux H?©ros,7.493,963,2.593,2,6,90,2014
72245,Aldeia Fortificada: Carta Promo,7.493,1389,2.161,2,4,30,2011
1912,Full Metal Plan?¨te,7.493,700,3.15,2,4,90,1988
1715,EXIT JOCUL Catacombele groazei,7.493,744,2.7,1,4,240,2018
72232,Dominion: Ksi???¼??,7.492,608,2.368,2,4,30,2014
378,First Class: All Aboard the Orient Express!,7.492,4472,2.779,2,4,80,2016
1251,DOOM,7.491,1405,2.9,2,5,180,2016
1137,Castell,7.491,1220,3.15,2,4,90,2018
72225,Lords of Vegas: UP!,7.491,569,2.25,2,6,90,2014
401,Vinhos,7.49,4335,4.208,2,4,135,2010
463,Struggle of Empires,7.49,3673,3.595,2,7,240,2004
1392,Smash Up: Cease and Desist,7.489,1046,2.667,2,2,45,2016
2040,Dungeon Command: Curse of Undeath,7.489,666,2.512,2,2,90,2012
2253,Space Hulk (Second Edition),7.488,562,2.656,2,2,90,1996
193,Dungeon Petz,7.488,12054,3.59,2,4,90,2011
1456,Heroscape Master Set 3: Dungeons & Dragons ?¢â?¬â?? Battle for the Underdark,7.488,989,2.457,2,2,60,2010
184,Dics??s?©g R?³m?¡nak!,7.487,12669,2.928,2,5,60,2005
888,Trains: Rising Sun,7.486,1659,2.436,2,4,45,2014
714,Legendary Encounters: A Predator Deck Building Game,7.484,2299,2.71,1,5,45,2015
72183,Eclipse: Supernova,7.484,1006,3.333,2,6,120,2011
1152,Helden von Terrinoth,7.484,1432,2.454,1,4,60,2018
479,List Mi??osny (edycja rozszerzona),7.483,3821,1.314,2,8,30,2016
334,Der Herr der Ringe: Die Entscheidung,7.483,5485,2.2,2,2,30,2005
2001,Cruel Necessity: The English Civil Wars 1640-1653,7.482,658,2.825,1,1,60,2013
279,Harry Potter: Boj o Bradavice,7.482,9871,2.086,2,4,60,2016
825,Level 7 [Omega Protocol],7.482,1903,3.077,2,6,90,2013
1991,Agricola Doppelkopf,7.482,646,2.921,3,6,120,1895
72165,Funkenschlag: Freizeitpark (BGG Promokarten-Set),7.481,589,3.103,2,6,120,2011
1755,Terramara,7.481,777,3.459,2,4,120,2019
2191,Kohle & Kolonie,7.48,525,3.839,3,5,180,2013
976,Mythos,7.48,1608,2.2,1,10,120,2016
1534,Key Flow,7.479,848,2.818,2,6,75,2018
496,Wallenstein,7.479,3458,3.31,3,5,150,2002
72142,Arkham Horror: Die Schwarze Ziege der W?¤lder,7.479,2558,3.13,1,8,240,2008
626,Brew Crafters,7.478,2655,3.578,2,5,90,2013
1494,Path of Light and Shadow,7.478,941,3.167,2,4,120,2017
1171,Antike II,7.478,1201,2.87,3,6,120,2014
918,Menara,7.478,1669,1.622,1,4,60,2018
72129,Hanabi & Ikebana,7.477,627,1.776,2,5,25,2010
72122,The Manhattan Project: Escalade Nucl???©aire,7.477,716,2.815,2,5,120,2013
719,Black Angel,7.477,2338,3.792,1,4,120,2019
250,Aufbruch zum Roten Planeten,7.476,8288,2.201,2,6,90,2015
946,Birthday Kitten,7.476,1554,1.113,3,99,20,1984
179,Sushi Go Party!,7.476,19179,1.312,2,8,20,2016
1461,Pathfinder Adventure Card Game: Wrath of the Righteous â?? Base Set,7.476,1012,3.128,1,4,120,2015
72104,Dungeon Twister: Paladine & Drachen,7.476,739,3.099,2,2,60,2004
72101,The Island Strikes Back!!!,7.475,682,1.889,2,6,60,2015
2352,W1815,7.475,507,1.542,2,2,20,2015
72083,Unlock! Evadeaz??!,7.474,4294,2.233,2,6,75,2017
72082,Star Wars X-Wing: El juego de miniaturas â?? HWK-290 â?? Pack de Expansi?³n,7.474,916,2.316,2,2,0,2013
336,Amerigo,7.474,5280,3,2,4,90,2013
873,Couronne d'Emara,7.474,1710,2.985,1,4,75,2018
537,Space Hulk,7.473,3594,2.506,2,4,45,1989
1982,Flying Colors,7.472,667,3.01,1,4,240,2005
453,Gears of War: Das Brettspiel,7.472,4560,2.886,1,4,180,2011
709,Wasteland Express Delivery Service,7.472,2451,2.892,2,5,120,2017
72069,The Manhattan Project: Nations Expansion,7.472,966,2.55,2,5,120,2012
72064,Quarriors! Quartifacts,7.471,911,2.222,2,4,30,2013
1778,ISLA TUCANA,7.471,720,1.36,1,8,15,2019
72061,Castle Panic: The Wizard's Tower,7.471,3127,2.072,1,6,90,2011
72042,Talisman (Revised 4th Edition): The City Expansion,7.469,940,2.217,2,6,90,2013
318,Gizmos,7.469,6081,1.984,2,4,50,2018
1084,Galaxy Defenders,7.468,1502,3.22,1,5,120,2014
169,Ra,7.467,18537,2.348,2,5,60,1999
2152,On the Underground: London/Berlin,7.467,546,2.4,2,5,60,2019
1640,Ascension: Darkness Unleashed,7.465,857,2.321,1,2,30,2013
293,Azul: De ramen van Sintra / Les vitraux de Sintra,7.465,7246,1.976,2,4,45,2018
631,Expansi?³polis,7.464,2701,1.816,1,4,20,2018
71974,BattleLore: Goblin Marauders Specialist Pack,7.462,510,2.738,2,2,60,2007
198,Dixit Odyseja,7.462,15466,1.197,3,12,30,2011
71971,Colt Express: Caballos y Diligencias,7.462,1969,2.176,2,6,60,2015
1303,Spirits of the Wild,7.462,1144,1.233,2,2,30,2018
71969,A Touch of Evil: Hero Pack 1,7.462,515,2.64,2,8,120,2009
1169,Fantastic Factories,7.461,1248,2.3,1,5,60,2019
498,Hyrule: Card Kingdoms,7.461,3683,1.977,1,5,45,2016
71947,Fresco: Expansion Modules 4 5 and 6,7.46,624,2.762,2,4,60,2011
1154,Tramways,7.46,1222,3.803,1,5,120,2016
338,Spartacus,7.46,6818,2.709,3,4,180,2012
919,Fief,7.459,1886,3.789,3,6,240,2015
1626,The Napoleonic Wars (Second Edition),7.459,855,3.384,2,5,240,2008
315,Bunny Kingdom,7.459,6431,2.244,2,4,60,2017
646,All Plastic Cards Bridge,7.458,2826,3.851,4,4,60,1908
393,Junk Art,7.458,4830,1.238,2,6,30,2016
71926,Catan telepesei: Lovagok ?©s V?¡rosok,7.458,16384,2.903,3,4,90,1998
226,Above and Below,7.457,11861,2.537,2,4,90,2015
153,Goharneshan (?¯?????±???´?§??),7.456,53677,1.8,2,4,30,2014
1909,D??snej krv?¡k,7.455,965,2.156,2,5,60,2018
954,Les Dents de la Mer,7.455,1858,2.154,2,4,60,2019
71870,Ghost Stories: Der Wachturm,7.454,558,2.844,1,4,60,2008
1498,The Artemis Project,7.453,964,2.86,1,5,75,2019
71863,Arkham Horror: El Horror de Kingsport,7.453,2962,3.368,2,8,240,2008
898,Les basses terres,7.453,1722,3.037,2,4,100,2018
1431,American Rails,7.453,930,2.838,3,5,90,2009
260,Charterstone,7.452,10515,2.815,1,6,75,2017
247,Glass Road,7.452,8626,2.976,1,4,80,2013
71850,Funkenschlag: Umspannwerk,7.451,519,2.613,2,6,120,2009
1698,Lockup: A Roll Player Tale,7.451,807,2.546,1,5,90,2019
491,Shakespeare,7.451,3623,3.019,1,4,90,2015
2130,Valley of the Kings: Last Rites,7.45,561,2.5,1,4,45,2016
201,Space Alert,7.45,14367,2.96,1,5,30,2008
2318,Las Vegas Royale,7.449,507,1.636,2,5,60,2019
761,Netrunner,7.449,2287,2.928,2,2,45,1996
71815,T.I.M.E stories Az Endurance exped?­ci?³,7.448,2445,2.25,2,4,90,2017
2372,BATTALIA: Die Sch?¶pfung,7.448,796,3.486,2,4,180,2015
1331,Duel of Ages 2,7.446,1154,3.409,2,8,150,2013
71797,BattleLore: Goblin Skirmishers Specialist Pack,7.446,542,2.549,2,2,60,2007
447,DVONN,7.446,4298,2.676,2,2,30,2001
199,Samoura?¯,7.444,14310,2.492,2,4,60,1998
182,Insula Skye: De la C??petenie la Rege,7.444,18768,2.234,2,5,50,2015
317,Risiko Evolution,7.444,7240,2.591,3,5,60,2011
1437,Florenza,7.444,963,3.742,2,5,200,2010
821,Warhammer Quest,7.443,2318,2.684,1,4,120,1995
1515,1870: Railroading across the Trans Mississippi from 1870,7.443,926,4.184,2,6,360,1992
71741,BattleLore Zwergen-Batallion,7.442,525,2.587,2,2,60,2007
2293,Valhalla,7.442,909,2.114,1,6,60,2018
688,Signorie,7.442,2447,3.58,2,4,120,2015
1855,Adventures in the Rocket Patrol,7.441,739,2.556,1,6,120,2015
71729,Saint Petersburg: New Society & Banquet Expansion,7.441,1466,2.496,2,5,60,2008
71728,Legendary: A Marvel Deck Building Game â?? Fear Itself,7.441,772,2.88,1,5,45,2015
672,AuZtralia,7.439,2633,2.896,1,4,120,2018
